animal	treatment	region	activate
R111097	1	1	366.19
R111097	1	2	199.31
R111097	1	3	187.11
R111097	2	1	371.71
R111097	2	2	302.02
R111097	2	3	449.7
R111397	1	1	375.58
R111397	1	2	204.85
R111397	1	3	179.38
R111397	2	1	492.58
R111397	2	2	355.74
R111397	2	3	459.58
R100797	1	1	458.16
R100797	1	2	245.04
R100797	1	3	237.42
R100797	2	1	664.72
R100797	2	2	587.1
R100797	2	3	726.96
R100997	1	1	479.81
R100997	1	2	261.19
R100997	1	3	195.51
R100997	2	1	515.29
R100997	2	2	437.56
R100997	2	3	604.29
R110597	1	1	462.79
R110597	1	2	278.33
R110597	1	3	262.05
R110597	2	1	589.25
R110597	2	2	493.93
R110597	2	3	621.07
